"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 04:16:54 UTC 2023","Mon Jul 10 04:17:13 UTC 2023","18974","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Mon Jul 10 04:21:45 UTC 2023","Mon Jul 10 04:22:07 UTC 2023","21369","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Mon Jul 10 04:14:52 UTC 2023","Mon Jul 10 04:14:52 UTC 2023","725","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Jul 10 04:27:19 UTC 2023","Mon Jul 10 04:27:20 UTC 2023","1615","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon Jul 10 04:26:59 UTC 2023","Mon Jul 10 04:27:15 UTC 2023","16705","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Jul 10 04:22:08 UTC 2023","Mon Jul 10 04:22:16 UTC 2023","7633","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Jul 10 04:33:05 UTC 2023","Mon Jul 10 04:33:20 UTC 2023","15606","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Mon Jul 10 04:40:23 UTC 2023","Mon Jul 10 04:40:31 UTC 2023","8095","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Mon Jul 10 04:14:15 UTC 2023","Mon Jul 10 04:14:23 UTC 2023","8165","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Mon Jul 10 04:25:07 UTC 2023","Mon Jul 10 04:25:09 UTC 2023","2605","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"skipped","Mon Jul 10 04:13:36 UTC 2023","Mon Jul 10 04:13:36 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Jul 10 04:13:46 UTC 2023","Mon Jul 10 04:14:15 UTC 2023","29218","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Jul 10 04:13:17 UTC 2023","Mon Jul 10 04:13:17 UTC 2023","46","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Mon Jul 10 04:37:28 UTC 2023","Mon Jul 10 04:38:09 UTC 2023","41366","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Jul 10 04:32:50 UTC 2023","Mon Jul 10 04:32:54 UTC 2023","3647","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Jul 10 04:17:20 UTC 2023","Mon Jul 10 04:18:09 UTC 2023","48611","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Jul 10 04:31:31 UTC 2023","Mon Jul 10 04:31:37 UTC 2023","6885","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Mon Jul 10 04:16:01 UTC 2023","Mon Jul 10 04:16:05 UTC 2023","3805","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Mon Jul 10 04:12:56 UTC 2023","Mon Jul 10 04:13:43 UTC 2023","47071","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Mon Jul 10 04:25:17 UTC 2023","Mon Jul 10 04:25:24 UTC 2023","7430","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Mon Jul 10 04:31:03 UTC 2023","Mon Jul 10 04:31:07 UTC 2023","3374","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jul 10 04:26:30 UTC 2023","Mon Jul 10 04:27:17 UTC 2023","47431","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Jul 10 04:42:53 UTC 2023","Mon Jul 10 04:43:11 UTC 2023","18152","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon Jul 10 04:31:10 UTC 2023","Mon Jul 10 04:31:30 UTC 2023","20244","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Jul 10 04:23:50 UTC 2023","Mon Jul 10 04:23:54 UTC 2023","4287","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Mon Jul 10 04:31:53 UTC 2023","Mon Jul 10 04:32:01 UTC 2023","8680","","6. Company Account","","","","2. Create a Company Account",""
"passed","Mon Jul 10 04:33:24 UTC 2023","Mon Jul 10 04:33:24 UTC 2023","696","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Mon Jul 10 04:13:35 UTC 2023","Mon Jul 10 04:13:38 UTC 2023","3366","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jul 10 04:35:00 UTC 2023","Mon Jul 10 04:35:17 UTC 2023","17687","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Jul 10 04:33:10 UTC 2023","Mon Jul 10 04:34:14 UTC 2023","64540","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Jul 10 04:31:31 UTC 2023","Mon Jul 10 04:31:53 UTC 2023","21481","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Jul 10 04:27:20 UTC 2023","Mon Jul 10 04:27:31 UTC 2023","10676","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon Jul 10 04:27:16 UTC 2023","Mon Jul 10 04:27:18 UTC 2023","2556","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Jul 10 04:13:06 UTC 2023","Mon Jul 10 04:13:28 UTC 2023","21597","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Jul 10 04:25:36 UTC 2023","Mon Jul 10 04:25:38 UTC 2023","1981","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Jul 10 04:31:31 UTC 2023","Mon Jul 10 04:31:41 UTC 2023","10343","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Jul 10 04:24:05 UTC 2023","Mon Jul 10 04:24:16 UTC 2023","10833","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Jul 10 04:13:36 UTC 2023","Mon Jul 10 04:13:46 UTC 2023","9539","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Mon Jul 10 04:25:11 UTC 2023","Mon Jul 10 04:25:36 UTC 2023","25359","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jul 10 04:12:52 UTC 2023","Mon Jul 10 04:13:17 UTC 2023","24741","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Jul 10 04:12:54 UTC 2023","Mon Jul 10 04:13:14 UTC 2023","19363","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon Jul 10 04:22:07 UTC 2023","Mon Jul 10 04:22:07 UTC 2023","37","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Mon Jul 10 04:42:49 UTC 2023","Mon Jul 10 04:42:52 UTC 2023","3440","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Jul 10 04:30:57 UTC 2023","Mon Jul 10 04:31:07 UTC 2023","9976","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Mon Jul 10 04:35:30 UTC 2023","Mon Jul 10 04:35:33 UTC 2023","2924","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Jul 10 04:22:07 UTC 2023","Mon Jul 10 04:22:13 UTC 2023","5825","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Jul 10 04:32:37 UTC 2023","Mon Jul 10 04:32:39 UTC 2023","2393","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Jul 10 04:40:25 UTC 2023","Mon Jul 10 04:40:31 UTC 2023","5576","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Jul 10 04:13:38 UTC 2023","Mon Jul 10 04:13:54 UTC 2023","16051","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Jul 10 04:25:38 UTC 2023","Mon Jul 10 04:26:29 UTC 2023","51717","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Jul 10 04:17:13 UTC 2023","Mon Jul 10 04:17:20 UTC 2023","7024","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Mon Jul 10 04:12:55 UTC 2023","Mon Jul 10 04:12:58 UTC 2023","3378","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Mon Jul 10 04:24:00 UTC 2023","Mon Jul 10 04:24:05 UTC 2023","4764","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Mon Jul 10 04:28:02 UTC 2023","Mon Jul 10 04:28:04 UTC 2023","2103","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Jul 10 04:30:55 UTC 2023","Mon Jul 10 04:31:03 UTC 2023","7794","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Jul 10 04:13:28 UTC 2023","Mon Jul 10 04:13:39 UTC 2023","11082","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Mon Jul 10 04:13:39 UTC 2023","Mon Jul 10 04:13:41 UTC 2023","2200","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
